#{"t_start": 1715282106.299728, "env_id": "None"}
r,l,t
-1000.0,1,2.987995
-1000.0,1,2.988523
-900.0,2,2.989542
-825.241397,6,2.992615
-351.277113,9,2.997054
-666.689609,5,2.999539
-756.253284,5,3.002012
-913.667319,3,3.003531
-775.414203,4,3.005514
-998.021877,2,3.006544
-719.461841,6,3.009499
-896.10279,4,3.011509
-754.559313,6,3.014476
-796.885577,6,3.017469
-795.829713,4,3.019484
-998.973434,2,3.020518
-806.519828,5,3.023006
-881.173772,3,3.024508
-777.830963,5,3.026993
-800.664148,5,3.02947
-957.275078,3,3.030975
-971.177619,2,3.031999
-1000.0,1,3.03253
-900.0,2,3.03356
-998.730193,2,3.034582
-1000.0,1,3.035115
-740.972334,5,3.03761
-734.665653,5,3.040081
-1000.0,1,3.040618
-833.411009,6,3.043586
-835.236124,5,3.046092
-961.525019,4,3.048098
-1000.0,1,3.048638
-1000.0,1,3.049209
-814.587133,5,3.051693
-800.0,3,3.053201
-717.903193,7,3.056664
-911.001738,3,3.058166
-900.0,2,3.059187
-1000.0,1,3.059723
-786.567907,5,3.062205
-969.723907,3,3.063805
-998.850496,2,3.064841
-797.8352,5,3.067359
-1000.0,1,3.067898
-714.613013,7,3.071368
-852.631815,6,3.074357
-955.014894,3,3.075883
-878.024844,5,3.078372
-695.677014,5,3.080861
-558.331693,8,3.084826
-711.022944,7,3.088268
-867.740512,4,3.09028
-1000.0,1,3.090821
-995.458436,2,3.091851
-889.411732,4,3.093856
-1000.0,1,3.094389
-583.890073,6,3.097337
-900.0,2,3.098365
-873.974102,3,3.099882
-600.0,5,3.102361
-958.438893,3,3.103884
-1000.0,1,3.104415
-900.0,2,3.105433
-685.384856,7,3.108898
-875.159975,4,3.110894
-1000.0,1,3.111428
-922.295276,4,3.113417
-855.621352,3,3.114935
-921.635342,2,3.115966
-987.818194,2,3.116986
-525.417409,8,3.120915
-977.586001,2,3.121949
-745.723707,4,3.123948
-1000.0,1,3.124501
-1000.0,1,3.12503
-834.367161,3,3.126541
-800.0,3,3.128048
-901.414075,4,3.130032
-1000.0,1,3.130568
